,o_orderkey,o_custkey,o_totalprice,o_orderdate,o_freedelivery
0,3271,2215,126788.55,1992-01-01,no
1,5607,6100,41138.16,1992-01-01,no
2,20742,9166,115598.29,1992-01-01,no
3,23010,6107,111835.79,1992-01-01,no
4,27015,734,28070.69,1992-01-01,no
5,27137,3626,263470.63,1992-01-01,yes
6,37543,8324,162922.73,1992-01-01,no
7,45697,7331,356023.72,1992-01-01,yes
8,59718,1660,79566.12,1992-01-01,no
9,88199,2423,272551.94,1992-01-01,yes
10,115585,9604,188453.73,1992-01-01,no
11,126753,9146,161852.52,1992-01-01,no
12,139655,1693,133692.19,1992-01-01,no
13,159266,6637,127627.7,1992-01-01,no
14,161954,8557,174799.76,1992-01-01,no
15,175975,505,307131.82,1992-01-01,yes
16,176768,7561,311590.2,1992-01-01,yes
17,179335,5518,66508.63,1992-01-01,no
18,183488,7774,229648.9,1992-01-01,yes
19,189441,1774,198323.35,1992-01-01,no
20,190656,1588,140037.35,1992-01-01,no
21,201414,781,163740.92,1992-01-01,no
22,228804,6454,118240.8,1992-01-01,no
23,234946,2338,159434.3,1992-01-01,no
24,249668,7759,30615.51,1992-01-01,no
25,287971,9526,54413.3,1992-01-01,no
26,300416,7180,85299.74,1992-01-01,no
27,302497,8944,262066.78,1992-01-01,yes
28,303079,2816,58315.1,1992-01-01,no
29,334181,1921,81283.59,1992-01-01,no
30,339300,3001,302826.47,1992-01-01,yes
31,343335,2155,246474.64,1992-01-01,yes
32,346916,4285,318509.1,1992-01-01,yes
33,359170,7192,99057.23,1992-01-01,no
34,360261,6281,12847.38,1992-01-01,no
35,368004,7726,83414.09,1992-01-01,no
36,383079,5327,153232.16,1992-01-01,no
37,391429,8692,217528.86,1992-01-01,yes
38,1248,3151,276389.08,1992-01-02,yes
39,3139,1105,66981.08,1992-01-02,no
40,3712,4276,175585.1,1992-01-02,no
41,51648,7052,263641.35,1992-01-02,yes
42,53988,3941,65396.69,1992-01-02,no
43,63906,947,242044.15,1992-01-02,yes
44,69378,2453,134537.33,1992-01-02,no
45,69476,7492,66049.92,1992-01-02,no
46,90690,4252,287153.49,1992-01-02,yes
47,108992,9985,209061.71,1992-01-02,yes
48,128610,8485,42211.16,1992-01-02,no
49,128710,3082,133171.21,1992-01-02,no
50,130852,7802,328587.82,1992-01-02,yes
51,135392,553,150577.11,1992-01-02,no
52,152805,1843,134370.06,1992-01-02,no
53,153954,4877,98733.48,1992-01-02,no
54,156868,8186,165438.39,1992-01-02,no
55,165571,2683,292368.66,1992-01-02,yes
56,165636,1393,188906.28,1992-01-02,no
57,168197,4628,73364.79,1992-01-02,no
58,169063,8737,47787.03,1992-01-02,no
59,228422,1840,11415.22,1992-01-02,no
60,229026,6814,99809.86,1992-01-02,no
61,249894,2116,218805.92,1992-01-02,yes
62,252960,6574,61629.66,1992-01-02,no
63,255876,5171,121613.03,1992-01-02,no
64,258630,7285,165619.95,1992-01-02,no
65,261251,5321,47946.87,1992-01-02,no
66,265862,3902,208681.15,1992-01-02,yes
67,271808,1132,44500.44,1992-01-02,no
68,296005,403,74372.12,1992-01-02,no
69,308578,3559,26562.03,1992-01-02,no
70,331045,7856,66680.75,1992-01-02,no
71,332675,2918,38358.53,1992-01-02,no
72,336066,8143,103788.78,1992-01-02,no
73,338048,6445,295273.81,1992-01-02,yes
74,348931,8962,29109.99,1992-01-02,no
75,349347,358,71496.18,1992-01-02,no
76,361057,7321,226429.65,1992-01-02,yes
77,362566,1121,85185.19,1992-01-02,no
78,363520,2374,134387.75,1992-01-02,no
79,370820,6538,41708.45,1992-01-02,no
80,382657,4576,257055.5,1992-01-02,yes
81,386433,8012,70663.8,1992-01-02,no
82,388037,5894,199462.29,1992-01-02,no
83,398274,683,132756.04,1992-01-02,no
84,6657,3097,48757.83,1992-01-03,no
85,22693,1459,194205.05,1992-01-03,no
86,24167,6938,143751.32,1992-01-03,no
87,29030,7723,59416.22,1992-01-03,no
88,36582,226,222669.18,1992-01-03,yes
89,46085,556,156597.56,1992-01-03,no
90,47591,5512,165746.32,1992-01-03,no
91,54214,5852,69693.32,1992-01-03,no
92,74023,2651,198113.85,1992-01-03,no
93,77634,1951,183604.27,1992-01-03,no
94,80069,355,174755.07,1992-01-03,no
95,83328,494,116525.9,1992-01-03,no
96,106276,970,221913.91,1992-01-03,yes
97,112645,6994,230911.1,1992-01-03,yes
98,120096,3292,47932.07,1992-01-03,no
99,128098,2179,57898.64,1992-01-03,no
100,130372,4072,164358.37,1992-01-03,no
101,136064,8791,137931.59,1992-01-03,no
102,138726,7610,271859.69,1992-01-03,yes
103,166371,4741,95144.61,1992-01-03,no
104,181282,718,112848.69,1992-01-03,no
105,190725,5563,120081.48,1992-01-03,no
106,213255,9421,80112.69,1992-01-03,no
107,216901,2402,156147.56,1992-01-03,no
108,255717,529,125058.13,1992-01-03,no
109,263813,8929,129091.29,1992-01-03,no
110,278529,6728,195085.26,1992-01-03,no
111,290116,5029,92132.77,1992-01-03,no
112,294595,6871,66075.93,1992-01-03,no
113,301446,6061,248537.35,1992-01-03,yes
114,308384,5663,82263.55,1992-01-03,no
115,313953,8072,188852.52,1992-01-03,no
116,317733,226,197098.58,1992-01-03,no
117,331012,4321,31385.56,1992-01-03,no
118,335331,1828,67041.75,1992-01-03,no
119,342149,3908,156145.08,1992-01-03,no
120,365319,4510,106122.51,1992-01-03,no
121,4000,4661,120500.48,1992-01-04,no
122,7618,5905,351495.1,1992-01-04,yes
123,9379,2342,140334.41,1992-01-04,no
124,10945,1657,197018.68,1992-01-04,no
125,16164,6595,96690.7,1992-01-04,no
126,34145,3551,68740.72,1992-01-04,no
127,35811,3919,260758.51,1992-01-04,yes
128,43494,6110,134430.07,1992-01-04,no
129,50471,5020,49468.9,1992-01-04,no
130,56033,9091,59634.68,1992-01-04,no
131,56675,7219,185816.14,1992-01-04,no
132,82145,2584,142984.16,1992-01-04,no
133,88900,1309,114339.92,1992-01-04,no
134,108897,4727,20027.85,1992-01-04,no
135,126274,6785,189405.95,1992-01-04,no
136,130147,5897,173958.76,1992-01-04,no
137,132837,6265,132885.51,1992-01-04,no
138,192929,5794,205880.61,1992-01-04,yes
139,201089,743,60938.44,1992-01-04,no
140,209376,404,88720.95,1992-01-04,no
141,229095,6964,228574.92,1992-01-04,yes
142,237792,8866,88283.58,1992-01-04,no
143,242785,6124,43857.67,1992-01-04,no
144,244291,5722,225019.12,1992-01-04,yes
145,261318,9992,166681.2,1992-01-04,no
146,269063,1859,188996.31,1992-01-04,no
147,278788,5246,72351.14,1992-01-04,no
148,280641,4504,72063.51,1992-01-04,no
149,288868,6181,66547.66,1992-01-04,no
150,291265,1745,212946.74,1992-01-04,yes
151,296742,9664,13568.55,1992-01-04,no
152,304867,9379,280007.74,1992-01-04,yes
153,307621,2030,101587.84,1992-01-04,no
154,315872,9616,238321.15,1992-01-04,yes
155,325028,9094,207970.1,1992-01-04,yes
156,331108,5827,201505.36,1992-01-04,yes
157,332674,1768,218398.61,1992-01-04,yes
158,354915,6268,102834.64,1992-01-04,no
159,358471,5926,200417.0,1992-01-04,yes
160,361190,7030,33372.15,1992-01-04,no
161,363201,7531,117498.32,1992-01-04,no
162,382946,9854,221724.09,1992-01-04,yes
163,383554,9538,109352.97,1992-01-04,no
164,385024,3497,271148.85,1992-01-04,yes
165,388678,2257,38563.19,1992-01-04,no
166,392903,388,131610.32,1992-01-04,no
167,397889,4528,223037.83,1992-01-04,yes
168,6278,2254,178767.17,1992-01-05,no
169,7107,6080,254489.55,1992-01-05,yes
170,16064,121,99504.94,1992-01-05,no
171,31555,4544,104825.19,1992-01-05,no
172,39619,2326,118849.09,1992-01-05,no
173,44646,9376,110899.28,1992-01-05,no
174,55011,5575,253208.21,1992-01-05,yes
175,69632,7873,286328.53,1992-01-05,yes
176,74215,394,76027.8,1992-01-05,no
177,81794,7297,250120.18,1992-01-05,yes
178,104768,445,158675.88,1992-01-05,no
179,106371,4114,79157.14,1992-01-05,no
180,117191,5893,200162.03,1992-01-05,yes
181,125989,8015,273589.7,1992-01-05,yes
182,149441,1807,166247.71,1992-01-05,no
183,160546,6208,71103.19,1992-01-05,no
184,161347,4630,18823.03,1992-01-05,no
185,163943,7297,48613.91,1992-01-05,no
186,164451,3238,207102.9,1992-01-05,yes
187,165410,8797,117754.39,1992-01-05,no
188,173188,3563,158869.57,1992-01-05,no
189,181767,4546,68513.47,1992-01-05,no
190,183015,5653,80498.51,1992-01-05,no
191,186048,4516,166454.92,1992-01-05,no
192,191521,6473,336746.61,1992-01-05,yes
193,196480,3928,251382.03,1992-01-05,yes
194,198817,9859,104435.21,1992-01-05,no
195,227620,8548,97551.75,1992-01-05,no
196,234022,7123,149555.47,1992-01-05,no
197,259751,5884,73251.34,1992-01-05,no
198,260935,3889,64545.46,1992-01-05,no
199,274656,6529,128134.63,1992-01-05,no
200,282725,268,197321.03,1992-01-05,no
201,284294,7733,194095.35,1992-01-05,no
